,cidade,latitude,longitude
0,Abadia de Goiás,-16.7573,-49.4412
1,Abadia dos Dourados,-18.4831,-47.3916
2,Abadiânia,-16.197,-48.7057
3,Abaeté,-19.1551,-45.4444
4,Abaetetuba,-1.72183,-48.8788
5,Abaiara,-7.34588,-39.0416
6,Abaíra,-13.2488,-41.6619
7,Abaré,-8.72073,-39.1162
8,Abatiá,-23.3049,-50.3133
9,Abdon Batista,-27.6126,-51.0233
10,Abel Figueiredo,-4.95333,-48.3933
11,Abelardo Luz,-26.5716,-52.3229
12,Abre Campo,-20.2996,-42.4743
13,Abreu e Lima,-7.90072,-34.8984
14,Abreulândia,-9.62101,-49.1518
15,Acaiaca,-20.359,-43.1439
16,Açailândia,-4.94714,-47.5004
17,Acajutiba,-11.6575,-38.0197
18,Acará,-1.95383,-48.1985
19,Acarape,-4.22083,-38.7055
20,Acaraú,-2.88769,-40.1183
21,Acari,-6.4282,-36.6347
22,Acauã,-8.21954,-41.0831
23,Aceguá,-31.8665,-54.1615
24,Acopiara,-6.08911,-39.448
25,Acorizal,-15.194,-56.3632
26,Acreúna,-17.396,-50.3749
27,Açucena,-19.0671,-42.5419
28,Adamantina,-21.682,-51.0737
29,Adelândia,-16.4127,-50.1657
30,Adolfo,-21.2325,-49.6451
31,Adrianópolis,-24.6606,-48.9922
32,Adustina,-10.5437,-38.1113
33,Afogados da Ingazeira,-7.7431199999999984,-37.631
34,Afonso Bezerra,-5.4922900000000014,-36.5075
35,Afonso Cláudio,-20.0778,-41.1261
36,Afonso Cunha,-4.13631,-43.3275
37,Afrânio,-8.51136,-41.0095
38,Afuá,-0.154874,-50.3861
39,Agrestina,-8.459660000000001,-35.9447
40,Agricolândia,-5.79676,-42.6664
41,Agrolândia,-27.4087,-49.822
42,Agronômica,-27.2662,-49.708
43,Água Azul do Norte,-6.79053,-50.4791
44,Água Boa,-17.9914,-42.3806
45,Água Boa,-14.050999999999998,-52.1601
46,Água Branca,-5.88856,-42.637
47,Água Branca,-7.511439999999999,-37.6357
48,Água Branca,-9.262,-37.938
49,Água Clara,-20.4452,-52.879
50,Água Comprida,-20.0576,-48.1069
51,Água Doce,-26.9985,-51.5528
52,Água Doce do Maranhão,-2.84048,-42.1189
53,Água Doce do Norte,-18.5482,-40.9854
54,Água Fria,-11.8618,-38.7639
55,Água Fria de Goiás,-14.9778,-47.7823
56,Água Limpa,-18.0771,-48.7603
57,Água Nova,-6.20351,-38.2941
58,Água Preta,-8.70609,-35.5263
59,Água Santa,-28.1672,-52.03100000000001
60,Aguaí,-22.0572,-46.9735
61,Aguanil,-20.9439,-45.3915
62,Águas Belas,-9.11125,-37.1226
63,Águas da Prata,-21.9319,-46.7176
64,Águas de Chapecó,-27.0754,-52.9808
65,Águas de Lindóia,-22.4733,-46.6314
66,Águas de Santa Bárbara,-22.8812,-49.2421
67,Águas de São Pedro,-22.5977,-47.8734
68,Águas Formosas,-17.0802,-40.9384
69,Águas Frias,-26.8794,-52.8568
70,Águas Mornas,-27.6963,-48.8243
71,Águas Vermelhas,-15.7431,-41.4571
72,Agudo,-29.6447,-53.2515
73,Agudos,-22.4694,-48.9863
74,Agudos do Sul,-25.9899,-49.3343
75,Águia Branca,-18.9846,-40.7437
76,Aguiar,-7.0918,-38.1681
77,Aguiarnópolis,-6.55409,-47.4702
78,Aimorés,-19.5007,-41.0746
79,Aiquara,-14.1269,-39.8937
80,Aiuaba,-6.5712199999999985,-40.1178
81,Aiuruoca,-21.9736,-44.6042
82,Ajuricaba,-28.2342,-53.7757
83,Alagoa,-22.171,-44.6413
84,Alagoa Grande,-7.03943,-35.6206
85,Alagoa Nova,-7.05377,-35.7591
86,Alagoinha,-6.94657,-35.5332
87,Alagoinha,-8.4665,-36.7788
88,Alagoinha do Piauí,-7.00039,-40.9282
89,Alambari,-23.5503,-47.898
90,Albertina,-22.2018,-46.6139
91,Alcântara,-2.39574,-44.4062
92,Alcântaras,-3.58537,-40.5479
93,Alcantil,-7.7366800000000016,-36.0511
94,Alcinópolis,-18.3255,-53.7042
95,Alcobaça,-17.5195,-39.2036
96,Aldeias Altas,-4.62621,-43.4689
97,Alecrim,-27.6579,-54.7649
98,Alegre,-20.758000000000006,-41.5382
99,Alegrete,-29.7902,-55.7949
100,Alegrete do Piauí,-7.2419600000000015,-40.8566
101,Alegria,-27.8345,-54.0557
102,Além Paraíba,-21.8797,-42.7176
103,Alenquer,-1.94623,-54.7384
104,Alexandria,-6.40533,-38.0142
105,Alexânia,-16.0834,-48.5076
